No.,DOB,Age, Fund Value , Salary , Contributions ,EE, ER , Years ,Retirement age
1,3/25/1975,51.00," 12,621,655.25 "," 421,820.00 "," 84,364.00 ",10%,10%,9.00,60
2,2/23/1981,45.00," 8,149,961.01 "," 465,010.00 "," 93,002.00 ",10%,10%,15.00,60
3,7/24/1991,35.00," 7,085,348.52 "," 504,660.00 "," 100,932.00 ",10%,10%,25.00,60
4,4/13/1986,40.00," 6,028,192.05 "," 504,660.00 "," 100,932.00 ",10%,10%,20.00,60
5,11/14/1980,46.00," 9,458,131.00 "," 504,660.00 "," 100,932.00 ",10%,10%,14.00,60
6,5/27/1980,46.00," 4,622,771.76 "," 237,730.00 "," 47,546.00 ",10%,10%,14.00,60
7,12/3/1988,38.00," 8,492,387.27 "," 594,940.00 "," 118,988.00 ",10%,10%,22.00,60
8,9/27/1987,39.00," 11,159,764.17 "," 964,190.00 "," 192,838.00 ",10%,10%,21.00,60
9,2/9/1991,35.00," 7,634,111.17 "," 676,540.00 "," 135,308.00 ",10%,10%,25.00,60
10,10/21/1979,47.00," 30,257,023.66 "," 1,139,610.00 "," 227,922.00 ",10%,10%,13.00,60
11,9/25/1984,42.00," 9,848,099.58 "," 893,560.00 "," 178,712.00 ",10%,10%,18.00,60
12,7/27/1984,42.00," 13,908,003.69 "," 985,070.00 "," 197,014.00 ",10%,10%,18.00,60
13,7/23/1983,43.00," 7,086,765.70 "," 676,540.00 "," 135,308.00 ",10%,10%,17.00,60
14,8/3/1972,54.00," 15,131,686.54 "," 1,196,600.00 "," 239,320.00 ",10%,10%,6.00,60
15,3/13/1983,43.00," 5,976,084.66 "," 512,810.00 "," 102,562.00 ",10%,10%,17.00,60
16,8/29/1978,48.00," 11,383,271.35 "," 624,680.00 "," 124,936.00 ",10%,10%,12.00,60
17,8/21/1984,42.00," 6,746,717.75 "," 676,540.00 "," 135,308.00 ",10%,10%,18.00,60
18,4/15/1988,38.00," 9,557,605.81 "," 985,070.00 "," 197,014.00 ",10%,10%,22.00,60
19,7/18/1991,35.00," 7,371,671.45 "," 676,540.00 "," 135,308.00 ",10%,10%,25.00,60
20,6/4/1989,37.00," 6,157,241.99 "," 676,540.00 "," 135,308.00 ",10%,10%,23.00,60
21,4/16/1974,52.00," 6,377,742.70 "," 676,540.00 "," 135,308.00 ",10%,10%,8.00,60
22,6/20/1989,37.00," 6,659,462.07 "," 676,540.00 "," 135,308.00 ",10%,10%,23.00,60
23,3/12/1988,38.00," 5,270,661.29 "," 1,085,260.00 "," 217,052.00 ",10%,10%,22.00,60
24,5/5/1987,39.00," 11,633,464.61 "," 1,139,610.00 "," 227,922.00 ",10%,10%,21.00,60
25,9/6/1979,47.00," 6,069,395.05 "," 676,540.00 "," 135,308.00 ",10%,10%,13.00,60
26,5/28/1982,44.00," 9,566,012.53 "," 938,170.00 "," 187,634.00 ",10%,10%,16.00,60
